상호명,행정동명,법정동명,도로명주소,위도,경도
일노베카페,달천동,단월동,충청북도 충주시 충열4길 9-2,36.9492804999134,127.903877610172
별헤는밤,중앙탑면,중앙탑면,충청북도 충주시 중앙탑면 창동길 8,36.9954599267834,127.878631925974
컴포즈커피충주,용산동,용산동,충청북도 충주시 남산로 82,36.9615410028667,127.941357027039
충주탄금다례문화원,연수동,연수동,충청북도 충주시 연원5길 16,36.9833999402288,127.930001561597
어반트리,연수동,연수동,충청북도 충주시 연수서편3길 9,36.9888559411314,127.931707919764
카페지오,칠금.금릉동,칠금동,충청북도 충주시 칠금중앙로 56,36.9817939251021,127.921030590424
풀하우스,산척면,산척면,충청북도 충주시 산척면 동산로 725,37.0807909293249,127.956425900259
컴포즈커피충주건국대점,달천동,단월동,충청북도 충주시 충열5길 12,36.9500715655756,127.904122719457
미연다방,목행.용탄동,목행동,충청북도 충주시 행정9길 26-7,37.0135840206688,127.918571381165
북카페문학사,대소원면,대소원면,충청북도 충주시 대소원면 대학로 50,36.9688499589179,127.87276735128
원포리,금가면,금가면,충청북도 충주시 금가면 김생로 788-5,37.0132691512979,127.876814424791
월드휴먼브리지카페파구스충주남부점,용산동,용산동,충청북도 충주시 금봉4길 30,36.9644282061107,127.942010161237
작은정원,지현동,지현동,충청북도 충주시 지곡9길 6,36.9633248724435,127.933395405395
5_9데이,앙성면,앙성면,충청북도 충주시 앙성면 구장터길 28,37.1080586757092,127.742252159204
로뎀나무,수안보면,수안보면,충청북도 충주시 수안보면 미륵송계로 329,36.8394741239544,128.039744127394
커피와향기이야기,성내.충인동,성내동,충청북도 충주시 중앙로 127,36.9713945784956,127.937300863915
아띠,대소원면,대소원면,충청북도 충주시 대소원면 첨단산업4로 24,36.9875015559811,127.828803774476
엠커피팩토리,수안보면,수안보면,충청북도 충주시 수안보면 물탕1길 9,36.8472775848876,127.990115141258
굿나잇커피앤북,목행.용탄동,목행동,충청북도 충주시 행정5길 25,37.0120104003403,127.916990658321
샤인,호암.직동,호암동,충청북도 충주시 호암중앙2로 21,36.9557129267289,127.938860133633
커피홀충주호암지점,문화동,문화동,충청북도 충주시 연못3길 13,36.965668918651,127.920533103766
눙크,용산동,용산동,충청북도 충주시 거룡9길 1,36.9623365849402,127.937605266684
카페인스,연수동,연수동,충청북도 충주시 국원초5길 56,36.9812711376457,127.945126684199
오케잇,칠금.금릉동,칠금동,충청북도 충주시 계명대로 33,36.9826372071317,127.918019475858
닻별,성내.충인동,성내동,충청북도 충주시 관아4길 1-1,36.9695124857379,127.934874654673
커피와수제비,연수동,연수동,충청북도 충주시 동수8길 10,36.9829237794643,127.938981008542
호수로1010,교현.안림동,종민동,충청북도 충주시 하종민길 2,36.9899268502934,127.995151234267
스위트디저트,칠금.금릉동,칠금동,충청북도 충주시 칠금6길 8,36.9834024982085,127.922745958836
드림텍,대소원면,대소원면,충청북도 충주시 대소원면 기업도시1로 47,36.9974872165579,127.83110272948
커피상점교동,교현.안림동,교현동,충청북도 충주시 교동3길 9-2,36.97347433156,127.936371805287
충주경찰서무궁화복지회,교현.안림동,교현동,충청북도 충주시 예성로 218,36.9761030469695,127.935528030752
카페599,연수동,연수동,충청북도 충주시 연수로2길 16,36.9928207051091,127.938552255109
카페단우,성내.충인동,성내동,충청북도 충주시 예성로 180,36.972601038652,127.933991568657
나인보네르,교현2동,교현동,충청북도 충주시 국원대로 70,36.9775941974627,127.928077822048
미래진영(지점),성내.충인동,성서동,충청북도 충주시 성서7길 17,36.9708364443212,127.931510684458
헤이븐커피바,호암.직동,호암동,충청북도 충주시 호암수청1로 51,36.9572243712421,127.925382898487
카페가린여울,목행.용탄동,목행동,충청북도 충주시 충주호수로 180,37.0186393038143,127.936959482978
